Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0		0		0		0		0		0		0
2001	3		5		0		0		2		3		1
2002	5		6		1		0		1		1		3
2003	15		23		10		1		3		11		11
2004	38		9		14		2		7		30		32
2005	56		58		24		15		437		82		64
2006	242		368		105		55		33		304		457
2007	272		398		100		65		39		383		745
2008	1079		492		153		656		57		558		710
2009	756		526		1064		1141		532		1236		1339
2010	1404		796		1219		2383		189		942		3426
2011	2218		1482		2693		4464		488		2965		4341
2012	3301		2546		5365		5892		519		4344		10744
2013	4929		3355		4741		7872		2924		3654		12010
2014	9092		6134		1687		2119		2928		2873		13725
2015	3643		622		149		138		40		338		1531
